ADM2_PCODE,ADM_PCODE,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15
ID1107,ID1107,8336,1699,835,753,5049,2480
ID1112,ID1112,54299,11068,5440,4902,32886,16156
ID1108,ID1108,272064,55454,27255,24560,164742,80935
ID1116,ID1116,15956,3253,1599,1441,9664,4748
ID1103,ID1103,111402,21726,10659,12142,65558,32170
ID1102,ID1102,76418,14204,6954,9814,43608,21371
ID1114,ID1114,112987,25304,12402,7068,71884,35278
ID1106,ID1106,102187,20830,10238,9225,61889,30405
ID1104,ID1104,107524,24075,11799,6744,68394,33564
ID1105,ID1105,156651,33572,16476,11882,97368,47808
ID1111,ID1111,297698,60682,29826,26876,180300,88577
ID1307,ID1307,267491,51607,25274,24467,153835,75538
ID5307,ID5307,0,0,0,0,0,0
ID1208,ID1208,344791,77290,37881,21472,219470,107706
ID9415,ID9415,43031,9637,4602,1081,30537,14333
ID5103,ID5103,0,0,0,0,0,0
ID6311,ID6311,0,0,0,0,0,0
ID3204,ID3204,0,0,0,0,0,0
ID3217,ID3217,0,0,0,0,0,0
ID7202,ID7202,0,0,0,0,0,0
ID7201,ID7201,0,0,0,0,0,0
ID7211,ID7211,0,0,0,0,0,0
ID1901,ID1901,0,0,0,0,0,0
ID1903,ID1903,0,0,0,0,0,0
ID1905,ID1905,0,0,0,0,0,0
ID1904,ID1904,0,0,0,0,0,0
ID3526,ID3526,0,0,0,0,0,0
ID5106,ID5106,0,0,0,0,0,0
ID6303,ID6303,0,0,0,0,0,0
ID3304,ID3304,0,0,0,0,0,0
ID7303,ID7303,0,0,0,0,0,0
ID3402,ID3402,0,0,0,0,0,0
ID1607,ID1607,0,0,0,0,0,0
ID3302,ID3302,0,0,0,0,0,0
ID3510,ID3510,0,0,0,0,0,0
ID6304,ID6304,0,0,0,0,0,0
ID6204,ID6204,0,0,0,0,0,0
ID6212,ID6212,0,0,0,0,0,0
ID6205,ID6205,0,0,0,0,0,0
ID7310,ID7310,0,0,0,0,0,0
ID3325,ID3325,0,0,0,0,0,0
ID1504,ID1504,72254,13192,6462,8334,39927,19598
ID1219,ID1219,209149,46884,22978,13025,133129,65334
ID3216,ID3216,0,0,0,0,0,0
ID1902,ID1902,160,24,12,26,74,37
ID1906,ID1906,216,32,16,35,100,49
ID5306,ID5306,0,0,0,0,0,0
ID1117,ID1117,68918,14048,6905,6222,41740,20506
ID1408,ID1408,291627,56689,27831,26138,166290,81767
ID6102,ID6102,136060,27493,13487,10129,81503,40032
ID1701,ID1701,0,0,0,0,0,0
ID1709,ID1709,0,0,0,0,0,0
ID1703,ID1703,845,154,76,98,467,229
ID6405,ID6405,55401,11485,5632,4799,34700,17027
ID9409,ID9409,80747,18084,8637,2029,57302,26896
ID5206,ID5206,0,0,0,0,0,0
ID2102,ID2102,13209,2550,1252,1138,7888,3886
ID1110,ID1110,229468,46775,22990,20716,138977,68276
ID3505,ID3505,0,0,0,0,0,0
ID3316,ID3316,0,0,0,0,0,0
ID7501,ID7501,972,227,112,68,656,322
ID3201,ID3201,0,0,0,0,0,0
ID3522,ID3522,0,0,0,0,0,0
ID7101,ID7101,0,0,0,0,0,0
ID7110,ID7110,0,0,0,0,0,0
ID7111,ID7111,0,0,0,0,0,0
ID7107,ID7107,13592,3170,1564,946,9181,4503
ID7406,ID7406,0,0,0,0,0,0
ID3511,ID3511,0,0,0,0,0,0
ID7311,ID7311,0,0,0,0,0,0
ID7504,ID7504,3656,853,421,255,2469,1211
ID9413,ID9413,0,0,0,0,0,0
ID3309,ID3309,0,0,0,0,0,0
ID3329,ID3329,0,0,0,0,0,0
ID5108,ID5108,0,0,0,0,0,0
ID7302,ID7302,62264,14352,7062,7113,42088,20679
ID6502,ID6502,37456,7765,3808,3244,23460,11511
ID1509,ID1509,200156,38118,18696,20036,112225,55150
ID7207,ID7207,6031,1407,694,420,4074,1998
ID8104,ID8104,0,0,0,0,0,0
ID8109,ID8109,0,0,0,0,0,0
ID7401,ID7401,820,187,92,78,551,269
ID7415,ID7415,12372,2852,1403,1413,8363,4109
ID7414,ID7414,839,193,95,96,567,279
ID7409,ID7409,0,0,0,0,0,0
ID3207,ID3207,0,0,0,0,0,0
ID3203,ID3203,0,0,0,0,0,0
ID3301,ID3301,0,0,0,0,0,0
ID3209,ID3209,0,0,0,0,0,0
ID1210,ID1210,158613,33997,16658,12570,98281,48216
ID1388,ID1388,162,31,15,15,93,46
ID1688,ID1688,0,0,0,0,0,0
ID1888,ID1888,0,0,0,0,0,0
ID7188,ID7188,358,83,41,25,242,119
ID1288,ID1288,2906,618,303,239,1792,879
ID9436,ID9436,86230,19312,9223,2167,61193,28722
ID1212,ID1212,1054002,236269,115798,65639,670902,329248
ID3321,ID3321,0,0,0,0,0,0
ID1311,ID1311,122415,23491,11526,11814,68979,33899
ID9434,ID9434,13666,3061,1462,343,9698,4552
ID5205,ID5205,0,0,0,0,0,0
ID7205,ID7205,28086,6192,3034,2489,18132,8888
